Nombre,Provincia,Código,Fecha,Periodo,Preccipitaciones,Estado del cielo,Temperatura maxima,Temperatura mínima
Agurain/Salvatierra,Araba/Álava,01051,2025-05-07T00:00:00,00-24,90,Nuboso con lluvia escasa,15,5
Agurain/Salvatierra,Araba/Álava,01051,2025-05-07T00:00:00,00-12,75,Muy nuboso con lluvia escasa,15,5
Agurain/Salvatierra,Araba/Álava,01051,2025-05-07T00:00:00,12-24,35,Intervalos nubosos,15,5
Agurain/Salvatierra,Araba/Álava,01051,2025-05-07T00:00:00,00-06,0,Bruma,15,5
Agurain/Salvatierra,Araba/Álava,01051,2025-05-07T00:00:00,06-12,75,Muy nuboso con lluvia escasa,15,5
Agurain/Salvatierra,Araba/Álava,01051,2025-05-07T00:00:00,12-18,35,Intervalos nubosos,15,5
Agurain/Salvatierra,Araba/Álava,01051,2025-05-07T00:00:00,18-24,0,Despejado,15,5
Alegría-Dulantzi,Araba/Álava,01001,2025-05-07T00:00:00,00-24,85,Nuboso con lluvia escasa,15,5
Alegría-Dulantzi,Araba/Álava,01001,2025-05-07T00:00:00,00-12,75,Muy nuboso con lluvia escasa,15,5
Alegría-Dulantzi,Araba/Álava,01001,2025-05-07T00:00:00,12-24,25,Intervalos nubosos,15,5
Alegría-Dulantzi,Araba/Álava,01001,2025-05-07T00:00:00,00-06,0,Niebla ,15,5
Alegría-Dulantzi,Araba/Álava,01001,2025-05-07T00:00:00,06-12,75,Muy nuboso con lluvia escasa,15,5
Alegría-Dulantzi,Araba/Álava,01001,2025-05-07T00:00:00,12-18,25,Intervalos nubosos,15,5
Alegría-Dulantzi,Araba/Álava,01001,2025-05-07T00:00:00,18-24,0,Despejado,15,5
Amurrio,Araba/Álava,01002,2025-05-07T00:00:00,00-24,100,Intervalos nubosos con lluvia escasa,17,6
Amurrio,Araba/Álava,01002,2025-05-07T00:00:00,00-12,90,Intervalos nubosos con lluvia escasa,17,6
Amurrio,Araba/Álava,01002,2025-05-07T00:00:00,12-24,60,Intervalos nubosos con lluvia escasa,17,6
Amurrio,Araba/Álava,01002,2025-05-07T00:00:00,00-06,0,Poco nuboso,17,6
Amurrio,Araba/Álava,01002,2025-05-07T00:00:00,06-12,90,Intervalos nubosos con lluvia escasa,17,6
Amurrio,Araba/Álava,01002,2025-05-07T00:00:00,12-18,60,Intervalos nubosos con lluvia escasa,17,6
Amurrio,Araba/Álava,01002,2025-05-07T00:00:00,18-24,0,Despejado,17,6
Añana,Araba/Álava,01049,2025-05-07T00:00:00,00-24,45,Intervalos nubosos,15,2
Añana,Araba/Álava,01049,2025-05-07T00:00:00,00-12,15,Intervalos nubosos,15,2
Añana,Araba/Álava,01049,2025-05-07T00:00:00,12-24,0,Poco nuboso,15,2
Añana,Araba/Álava,01049,2025-05-07T00:00:00,00-06,0,Poco nuboso,15,2
Añana,Araba/Álava,01049,2025-05-07T00:00:00,06-12,15,Intervalos nubosos,15,2
Añana,Araba/Álava,01049,2025-05-07T00:00:00,12-18,0,Poco nuboso,15,2
Añana,Araba/Álava,01049,2025-05-07T00:00:00,18-24,0,Despejado,15,2
Aramaio,Araba/Álava,01003,2025-05-07T00:00:00,00-24,100,Nuboso con lluvia escasa,16,6
Aramaio,Araba/Álava,01003,2025-05-07T00:00:00,00-12,95,Muy nuboso con lluvia escasa,16,6
Aramaio,Araba/Álava,01003,2025-05-07T00:00:00,12-24,45,Nuboso,16,6
Aramaio,Araba/Álava,01003,2025-05-07T00:00:00,00-06,0,Nuboso,16,6
Aramaio,Araba/Álava,01003,2025-05-07T00:00:00,06-12,95,Muy nuboso con lluvia escasa,16,6
Aramaio,Araba/Álava,01003,2025-05-07T00:00:00,12-18,45,Nuboso,16,6
Aramaio,Araba/Álava,01003,2025-05-07T00:00:00,18-24,0,Despejado,16,6
Armiñón,Araba/Álava,01006,2025-05-07T00:00:00,00-24,15,Intervalos nubosos,17,3
Armiñón,Araba/Álava,01006,2025-05-07T00:00:00,00-12,10,Intervalos nubosos,17,3
Armiñón,Araba/Álava,01006,2025-05-07T00:00:00,12-24,0,Despejado,17,3
Armiñón,Araba/Álava,01006,2025-05-07T00:00:00,00-06,0,Poco nuboso,17,3
Armiñón,Araba/Álava,01006,2025-05-07T00:00:00,06-12,10,Intervalos nubosos,17,3
Armiñón,Araba/Álava,01006,2025-05-07T00:00:00,12-18,0,Despejado,17,3
Armiñón,Araba/Álava,01006,2025-05-07T00:00:00,18-24,0,Despejado,17,3
Arraia-Maeztu,Araba/Álava,01037,2025-05-07T00:00:00,00-24,40,Intervalos nubosos,15,4
Arraia-Maeztu,Araba/Álava,01037,2025-05-07T00:00:00,00-12,20,Nuboso,15,4
Arraia-Maeztu,Araba/Álava,01037,2025-05-07T00:00:00,12-24,5,Poco nuboso,15,4
Arraia-Maeztu,Araba/Álava,01037,2025-05-07T00:00:00,00-06,0,Muy nuboso,15,4
Arraia-Maeztu,Araba/Álava,01037,2025-05-07T00:00:00,06-12,20,Nuboso,15,4
Arraia-Maeztu,Araba/Álava,01037,2025-05-07T00:00:00,12-18,5,Poco nuboso,15,4
Arraia-Maeztu,Araba/Álava,01037,2025-05-07T00:00:00,18-24,0,Despejado,15,4
Arratzua-Ubarrundia,Araba/Álava,01008,2025-05-07T00:00:00,00-24,80,Intervalos nubosos con lluvia escasa,15,4
Arratzua-Ubarrundia,Araba/Álava,01008,2025-05-07T00:00:00,00-12,65,Nuboso con lluvia escasa,15,4
Arratzua-Ubarrundia,Araba/Álava,01008,2025-05-07T00:00:00,12-24,20,Intervalos nubosos,15,4
Arratzua-Ubarrundia,Araba/Álava,01008,2025-05-07T00:00:00,00-06,0,Niebla ,15,4
Arratzua-Ubarrundia,Araba/Álava,01008,2025-05-07T00:00:00,06-12,65,Nuboso con lluvia escasa,15,4
Arratzua-Ubarrundia,Araba/Álava,01008,2025-05-07T00:00:00,12-18,20,Intervalos nubosos,15,4
Arratzua-Ubarrundia,Araba/Álava,01008,2025-05-07T00:00:00,18-24,0,Despejado,15,4
Artziniega,Araba/Álava,01004,2025-05-07T00:00:00,00-24,100,Intervalos nubosos con lluvia escasa,17,5
Artziniega,Araba/Álava,01004,2025-05-07T00:00:00,00-12,85,Intervalos nubosos con lluvia escasa,17,5
Artziniega,Araba/Álava,01004,2025-05-07T00:00:00,12-24,65,Intervalos nubosos con lluvia escasa,17,5
Artziniega,Araba/Álava,01004,2025-05-07T00:00:00,00-06,0,Poco nuboso,17,5
Artziniega,Araba/Álava,01004,2025-05-07T00:00:00,06-12,85,Intervalos nubosos con lluvia escasa,17,5
Artziniega,Araba/Álava,01004,2025-05-07T00:00:00,12-18,65,Intervalos nubosos con lluvia escasa,17,5
